iteration,policy,vehicles,app,completed_tasks,failed_tasks,failure_rate_pct,service_time_s,source
9,RT_OPT_ML,200,ALL_APPS,130976.0,79.0,0.060280035099767273,0.8122450243713165,ite9/SIMRESULT_ITS_SCENARIO_RT_OPT_ML_200DEVICES_ALL_APPS_GENERIC.log
10,RT_OPT_ML,200,ALL_APPS,128807.0,108.0,0.08377613155955474,0.8317308097029641,ite10/SIMRESULT_ITS_SCENARIO_RT_OPT_ML_200DEVICES_ALL_APPS_GENERIC.log
1,EXP3_MC,200,ALL_APPS,136892.0,97.0,0.07080860507048012,0.7871014718098465,ite1/SIMRESULT_ITS_SCENARIO_EXP3_MC_200DEVICES_ALL_APPS_GENERIC.log
2,EXP3_MC,200,ALL_APPS,134744.0,108.0,0.080087799958473,0.775551107381762,ite2/SIMRESULT_ITS_SCENARIO_EXP3_MC_200DEVICES_ALL_APPS_GENERIC.log
3,EXP3_MC,200,ALL_APPS,132535.0,97.0,0.07313468846130647,0.8233116135672649,ite3/SIMRESULT_ITS_SCENARIO_EXP3_MC_200DEVICES_ALL_APPS_GENERIC.log
4,EXP3_MC,200,ALL_APPS,131791.0,119.0,0.09021302403153665,0.7903751790081585,ite4/SIMRESULT_ITS_SCENARIO_EXP3_MC_200DEVICES_ALL_APPS_GENERIC.log
5,EXP3_MC,200,ALL_APPS,136146.0,89.0,0.06532829302308511,0.78473127267008,ite5/SIMRESULT_ITS_SCENARIO_EXP3_MC_200DEVICES_ALL_APPS_GENERIC.log
6,EXP3_MC,200,ALL_APPS,131524.0,99.0,0.07521481807890718,0.853268889769644,ite6/SIMRESULT_ITS_SCENARIO_EXP3_MC_200DEVICES_ALL_APPS_GENERIC.log
7,EXP3_MC,200,ALL_APPS,128605.0,103.0,0.0800261056033813,0.8301617187364616,ite7/SIMRESULT_ITS_SCENARIO_EXP3_MC_200DEVICES_ALL_APPS_GENERIC.log
8,EXP3_MC,200,ALL_APPS,124418.0,103.0,0.08271697143453714,0.8878689380446005,ite8/SIMRESULT_ITS_SCENARIO_EXP3_MC_200DEVICES_ALL_APPS_GENERIC.log
9,EXP3_MC,200,ALL_APPS,130976.0,79.0,0.060280035099767273,0.8122450243713165,ite9/SIMRESULT_ITS_SCENARIO_EXP3_MC_200DEVICES_ALL_APPS_GENERIC.log
10,EXP3_MC,200,ALL_APPS,128807.0,108.0,0.08377613155955474,0.8317308097029641,ite10/SIMRESULT_ITS_SCENARIO_EXP3_MC_200DEVICES_ALL_APPS_GENERIC.log
1,RAIDER_TRAX,200,ALL_APPS,136885.0,104.0,0.07591850440546322,0.7874132139624411,ite1/SIMRESULT_ITS_SCENARIO_RAIDER_TRAX_200DEVICES_ALL_APPS_GENERIC.log
2,RAIDER_TRAX,200,ALL_APPS,134746.0,106.0,0.07860469255183461,0.7755832580238988,ite2/SIMRESULT_ITS_SCENARIO_RAIDER_TRAX_200DEVICES_ALL_APPS_GENERIC.log
3,RAIDER_TRAX,200,ALL_APPS,132534.0,97.0,0.07313523987604707,0.8232943727620569,ite3/SIMRESULT_ITS_SCENARIO_RAIDER_TRAX_200DEVICES_ALL_APPS_GENERIC.log
4,RAIDER_TRAX,200,ALL_APPS,131796.0,115.0,0.08717999257074846,0.7904265042177903,ite4/SIMRESULT_ITS_SCENARIO_RAIDER_TRAX_200DEVICES_ALL_APPS_GENERIC.log
5,RAIDER_TRAX,200,ALL_APPS,136149.0,86.0,0.06312621573017213,0.7847395172726249,ite5/SIMRESULT_ITS_SCENARIO_RAIDER_TRAX_200DEVICES_ALL_APPS_GENERIC.log
6,RAIDER_TRAX,200,ALL_APPS,131521.0,102.0,0.07749405499038922,0.8533200642112013,ite6/SIMRESULT_ITS_SCENARIO_RAIDER_TRAX_200DEVICES_ALL_APPS_GENERIC.log
7,RAIDER_TRAX,200,ALL_APPS,128607.0,101.0,0.07847220064020885,0.8301053247741084,ite7/SIMRESULT_ITS_SCENARIO_RAIDER_TRAX_200DEVICES_ALL_APPS_GENERIC.log
8,RAIDER_TRAX,200,ALL_APPS,124420.0,101.0,0.08111081664940051,0.8882926324035538,ite8/SIMRESULT_ITS_SCENARIO_RAIDER_TRAX_200DEVICES_ALL_APPS_GENERIC.log
9,RAIDER_TRAX,200,ALL_APPS,130977.0,78.0,0.05951699668078288,0.8123954791504387,ite9/SIMRESULT_ITS_SCENARIO_RAIDER_TRAX_200DEVICES_ALL_APPS_GENERIC.log
10,RAIDER_TRAX,200,ALL_APPS,128810.0,105.0,0.08144901679401156,0.8317734440524812,ite10/SIMRESULT_ITS_SCENARIO_RAIDER_TRAX_200DEVICES_ALL_APPS_GENERIC.log
1,RANDOM,200,ALL_APPS,136951.0,65.0,0.047439715069772875,0.3532806746949923,ite1/SIMRESULT_ITS_SCENARIO_RANDOM_200DEVICES_ALL_APPS_GENERIC.log
2,RANDOM,200,ALL_APPS,134807.0,68.0,0.05041705282669138,0.35014529190595634,ite2/SIMRESULT_ITS_SCENARIO_RANDOM_200DEVICES_ALL_APPS_GENERIC.log
3,RANDOM,200,ALL_APPS,132587.0,63.0,0.047493403693931395,0.37138061499303177,ite3/SIMRESULT_ITS_SCENARIO_RANDOM_200DEVICES_ALL_APPS_GENERIC.log
