vehicles,app,baseline,metric,n_pairs,n_nonzero,scope_mean,scope_sd,baseline_mean,baseline_sd,mean_improvement,ci95_low,ci95_high,rank_biserial,wilcoxon_W,p_raw,p_holm,significant_holm_005
1200,ALL_APPS,EXP3_MC,service_time_s,10,10,0.5130770965736555,0.00870024112733508,0.5316187147730312,0.008079611479353585,0.01854161819937574,0.017231128498917583,0.01967245581661875,1.0,0.0,0.001953125,0.2109375,False
1200,ALL_APPS,RAIDER_TRAX,failure_rate_pct,10,10,0.5017090831584683,0.10511924276642126,1.7940936304038086,0.07720231401182531,1.2923845472453404,1.2222690875022966,1.3501319117481239,1.0,0.0,0.001953125,0.2109375,False
1200,ALL_APPS,RAIDER_TRAX,service_time_s,10,10,0.5130770965736555,0.00870024112733508,0.528674508082395,0.0081394163069925,0.015597411508739455,0.014098230719266937,0.016929437818254855,1.0,0.0,0.001953125,0.2109375,False
1200,ALL_APPS,RANDOM,failure_rate_pct,10,10,0.5017090831584683,0.10511924276642126,15.671465423763957,0.5951445949793319,15.169756340605488,14.768178735670656,15.568771627148914,1.0,0.0,0.001953125,0.2109375,False
1200,ALL_APPS,RANDOM,service_time_s,10,10,0.5130770965736555,0.00870024112733508,0.49161546661609823,0.010675835324609763,-0.021461629957557356,-0.02490235603088415,-0.018221801826755833,-1.0,0.0,0.001953125,0.2109375,False
1300,ALL_APPS,EXP3_MC,failure_rate_pct,10,10,0.5873739664186481,0.03119199536446083,4.428520229179211,0.234760233122431,3.841146262760563,3.6908847224748143,3.9821883650566305,1.0,0.0,0.001953125,0.2109375,False
1300,ALL_APPS,EXP3_MC,service_time_s,10,10,0.5083233189402391,0.006724243983063217,0.5480540306071402,0.006668791831337468,0.03973071166690119,0.03829159393504163,0.041213762013806506,1.0,0.0,0.001953125,0.2109375,False
1300,ALL_APPS,RAIDER_TRAX,failure_rate_pct,10,10,0.5873739664186481,0.03119199536446083,4.431479997377044,0.12751309216134712,3.8441060309583945,3.7597996247219925,3.9190781220806112,1.0,0.0,0.001953125,0.2109375,False
1300,ALL_APPS,RAIDER_TRAX,service_time_s,10,10,0.5083233189402391,0.006724243983063217,0.5437983568414941,0.006086387267911303,0.035475037901255,0.03421964246353955,0.03653387469756221,1.0,0.0,0.001953125,0.2109375,False
1300,ALL_APPS,RANDOM,failure_rate_pct,10,10,0.5873739664186481,0.03119199536446083,21.43358803244887,0.8793979692809661,20.84621406603022,20.32533899781337,21.376410132025036,1.0,0.0,0.001953125,0.2109375,False
1300,ALL_APPS,RANDOM,service_time_s,10,10,0.5083233189402391,0.006724243983063217,0.5100142484502019,0.008926856086620366,0.0016909295099627798,-0.0003324404327419317,0.003747012029870747,0.45454545454545453,15.0,0.232421875,1.0,False
1400,ALL_APPS,EXP3_MC,failure_rate_pct,10,10,0.9502880431097488,0.05510428500654652,9.087381528462638,0.38994009863382184,8.137093485352887,7.878804117415287,8.37570076487297,1.0,0.0,0.001953125,0.2109375,False
1400,ALL_APPS,EXP3_MC,service_time_s,10,10,0.5099546375060311,0.005606605262189937,0.5740322772353463,0.004505350295115356,0.06407763972931527,0.06266623780823796,0.06529501608523776,1.0,0.0,0.001953125,0.2109375,False
1400,ALL_APPS,RAIDER_TRAX,failure_rate_pct,10,10,0.9502880431097488,0.05510428500654652,9.09520705514667,0.31863433446350486,8.144919012036919,7.944683078320351,8.340031156571674,1.0,0.0,0.001953125,0.2109375,False
1400,ALL_APPS,RAIDER_TRAX,service_time_s,10,10,0.5099546375060311,0.005606605262189937,0.5699750784678421,0.004813434838406458,0.06002044096181108,0.058691517146625474,0.06137469643438413,1.0,0.0,0.001953125,0.2109375,False
1400,ALL_APPS,RANDOM,failure_rate_pct,10,10,0.9502880431097488,0.05510428500654652,27.160183585642606,1.0565142290417096,26.20989554253286,25.537547520944155,26.833132358261164,1.0,0.0,0.001953125,0.2109375,False
1400,ALL_APPS,RANDOM,service_time_s,10,10,0.5099546375060311,0.005606605262189937,0.5204371934057181,0.008696244765607439,0.010482555899687052,0.008404069624985246,0.01244940115522948,1.0,0.0,0.001953125,0.2109375,False
1500,ALL_APPS,EXP3_MC,failure_rate_pct,10,10,1.797573524527071,0.06341505250749538,18.683213631604737,3.296589231909631,16.885640107077666,15.060930431766112,18.933275163348593,1.0,0.0,0.001953125,0.2109375,False
